w_expected,w_upside,w_economic,mean_utility,sd_utility,rank_mean
0.5,0.0,0.5,54.05432432432433,18.404056397758943,72
0.45,0.45,0.1,53.85243243243243,16.10576887767675,73
0.35,0.25,0.4,53.82378378378378,17.084875272095584,74
0.45,0.0,0.55,53.78135135135135,19.155143516119193,75
0.35,0.45,0.2,53.777027027027025,15.88665352931071,76
0.75,0.2,0.05,53.715135135135135,12.621488207203006,77
0.65,0.25,0.1,53.67972972972973,13.88329741621734,78
0.45,0.05,0.5,53.32,15.474807663496899,79
0.6,0.35,0.05,53.287567567567564,13.397691012800472,80
0.35,0.5,0.15,52.92027027027027,15.768211426524939,81
0.3,0.55,0.15,52.83378378378379,15.784588713072027,82
0.4,0.05,0.55,52.817837837837835,17.371257892010895,83
0.3,0.5,0.2,52.81675675675676,15.464777732004437,84
0.25,0.35,0.4,52.814054054054054,15.699027828970006,85
0.7,0.25,0.05,52.8127027027027,12.131996411841579,86
0.3,0.35,0.35,52.77,17.116987338768343,87
0.3,0.3,0.4,52.72918918918919,16.491681468475484,88
0.8,0.2,0.0,52.72243243243243,13.579154450317796,89
0.25,0.4,0.35,52.72135135135135,17.840569896565363,90
0.25,0.45,0.3,52.719459459459465,17.328678052091366,91
0.25,0.5,0.25,52.62756756756757,15.779805027207932,92
0.2,0.45,0.35,52.509459459459464,16.385338627014143,93
0.55,0.4,0.05,52.406486486486486,12.51520702013182,94
0.65,0.35,0.0,52.34972972972973,12.974863194844291,95
0.5,0.5,0.0,52.174054054054054,15.707731015766205,96
0.4,0.15,0.45,52.118648648648644,15.005028446446833,97
0.2,0.5,0.3,52.111351351351345,15.583504662545186,98
0.4,0.1,0.5,52.093513513513514,17.113895299209716,99
0.75,0.25,0.0,51.994864864864866,12.969192903360044,100
0.25,0.6,0.15,51.825135135135135,14.892525646112555,101
0.5,0.45,0.05,51.79027027027027,14.780289706694314,102
0.35,0.1,0.55,51.76837837837838,16.282015899198164,103
0.4,0.5,0.1,51.69027027027027,15.231196693060681,104
0.55,0.45,0.0,51.58216216216216,15.646604554473921,105
0.15,0.5,0.35,51.53918918918919,16.249784678638115,106
0.45,0.5,0.05,51.53621621621621,15.271249012323661,107
0.35,0.05,0.6,51.47621621621622,18.69065160735461,108
0.35,0.55,0.1,51.32729729729729,15.16455418413623,109
0.25,0.65,0.1,51.20972972972973,14.690873298012557,110
0.2,0.65,0.15,51.17648648648649,14.90054850150308,111
0.3,0.6,0.1,50.99621621621621,14.732468178096251,112
0.6,0.4,0.0,50.968648648648646,13.185341010666642,113
0.45,0.55,0.0,50.722972972972975,15.8855372491362,114
0.25,0.55,0.2,50.61945945945946,14.655252176826112,115
0.2,0.7,0.1,50.45027027027027,15.871371236440943,116
0.2,0.6,0.2,50.33297297297297,15.70172918022882,117
0.35,0.65,0.0,50.325675675675676,16.60084478113832,118
0.2,0.4,0.4,50.300540540540545,16.070952392774075,119
0.4,0.6,0.0,50.263513513513516,17.03296545855455,120
0.15,0.7,0.15,50.08189189189189,16.801356399912382,121
0.35,0.2,0.45,50.07621621621622,14.804018476854964,122
0.35,0.6,0.05,49.98783783783784,16.151806423764214,123
0.4,0.0,0.6,49.95162162162162,19.331752164295448,124
0.4,0.55,0.05,49.87405405405405,14.213306843991003,125
0.15,0.75,0.1,49.85216216216216,15.798576084771257,126
0.15,0.65,0.2,49.83864864864865,15.977473406532601,127
0.1,0.55,0.35,49.83378378378378,15.17190447126811,128
