temporada,rodada_target,lineup_strategy,captain_rule,captain_player_id,captain_realized_score,captain_bonus,final_team_utility_with_captain,oracle_realized_score,captain_regret_score,is_oracle
2025,34,FAME-DOC,Highest Expected Performance,122486,1.7,0.85,76.06,17.8,16.1,False
2025,34,FAME-DOC,Highest Conditional Prediction,122486,1.7,0.85,76.06,17.8,16.1,False
2025,34,FAME-DOC,Highest FAME Representation,122486,1.7,0.85,76.06,17.8,16.1,False
2025,35,FAME-DOC,Highest Market Value,96610,4.7,2.35,66.3,13.5,8.8,False
2025,35,FAME-DOC,Highest Historical Mean,78850,13.2,6.6,70.55,13.5,0.3000000000000007,False
2025,35,FAME-DOC,Highest Expected Performance,96610,4.7,2.35,66.3,13.5,8.8,False
2025,35,FAME-DOC,Highest Conditional Prediction,122486,2.6,1.3,65.25,13.5,10.9,False
2025,35,FAME-DOC,Highest FAME Representation,122486,2.6,1.3,65.25,13.5,10.9,False
2025,36,FAME-DOC,Highest Market Value,96610,4.2,2.1,57.97,19.5,15.3,False
2025,36,FAME-DOC,Highest Historical Mean,78850,2.9,1.45,57.32,19.5,16.6,False
2025,36,FAME-DOC,Highest Expected Performance,78850,2.9,1.45,57.32,19.5,16.6,False
2025,36,FAME-DOC,Highest Conditional Prediction,78850,2.9,1.45,57.32,19.5,16.6,False
2025,36,FAME-DOC,Highest FAME Representation,122486,19.5,9.75,65.62,19.5,0.0,True
2025,37,FAME-DOC,Highest Market Value,96610,11.2,5.6,53.099999999999994,11.2,0.0,True
2025,37,FAME-DOC,Highest Historical Mean,78850,0.0,0.0,47.49999999999999,11.2,11.2,False
2025,37,FAME-DOC,Highest Expected Performance,122486,5.9,2.95,50.449999999999996,11.2,5.299999999999999,False
2025,37,FAME-DOC,Highest Conditional Prediction,122486,5.9,2.95,50.449999999999996,11.2,5.299999999999999,False
2025,37,FAME-DOC,Highest FAME Representation,78850,0.0,0.0,47.49999999999999,11.2,11.2,False
