temporada,rodada_target,strategy,score_column,operational_utility_no_captain,objective_value,cost_total,budget_remaining,budget_binding_indicator,formation_selected,n_selected,lineup_signature
2025,19,No upside,ab_no_upside,57.370000000000005,11.14222292690661,109.05000000000001,0.9499999999999886,False,4-3-3,12,104118|112709|112886|115248|122486|37457|71684|78850|80287|93886|96610|97867
2025,20,No upside,ab_no_upside,30.05,11.168044727931335,109.8,0.20000000000000284,False,4-3-3,12,103056|104027|104994|106593|107726|112886|126471|63007|70360|78850|82775|96610
2025,21,No upside,ab_no_upside,101.81,11.171413009648305,109.94,0.060000000000002274,False,4-3-3,12,103056|104027|104075|105300|112709|117632|122486|70360|78850|80287|93886|96610
2025,22,No upside,ab_no_upside,78.32999999999998,11.185750440984739,109.86,0.14000000000000057,False,4-3-3,12,103056|104027|112709|122486|132071|68899|70360|71684|78850|80583|87887|96610
2025,23,No upside,ab_no_upside,73.97999999999999,11.325885392916856,108.74999999999999,1.2500000000000142,False,4-3-3,12,104027|105300|112709|112886|122486|126216|51772|68899|71684|79973|82775|96610
2025,24,No upside,ab_no_upside,69.00999999999999,11.108071135430919,109.69000000000001,0.30999999999998806,False,4-3-3,12,104027|104118|106593|112709|122486|68685|68899|71684|80287|82775|98384|98672
2025,25,No upside,ab_no_upside,33.75,11.21168880455408,109.88999999999999,0.11000000000001364,False,4-3-3,12,104027|104118|104758|108713|112709|126216|68899|70360|71684|80061|88087|96610
2025,26,No upside,ab_no_upside,49.949999999999996,11.301826073941024,109.81000000000002,0.18999999999998352,False,4-3-3,12,104027|104118|112709|112886|122486|133669|68685|68899|71684|82775|88087|93886
2025,27,No upside,ab_no_upside,70.05,11.223185589356452,109.53,0.46999999999999886,False,4-3-3,12,104027|104118|105436|112709|122486|126216|132553|68685|68899|70360|71684|82775
2025,28,No upside,ab_no_upside,57.68,11.175650488332215,109.81,0.18999999999999773,False,4-3-3,12,104075|104118|112709|112886|122486|68899|78850|80287|89837|90943|92702|96610
2025,29,No upside,ab_no_upside,80.10000000000001,11.260609639087754,109.32,0.6800000000000068,False,4-3-3,12,102253|110510|115248|122486|126216|70449|71684|78850|80287|92075|93886|96610
2025,30,No upside,ab_no_upside,57.13,11.273330384785494,109.28999999999999,0.710000000000008,False,4-3-3,12,101727|104027|104085|104758|108713|115248|122486|126216|126471|70449|71684|96610
2025,31,No upside,ab_no_upside,62.05,11.264044117647058,108.88999999999999,1.1100000000000136,False,4-3-3,12,104027|104758|112709|113103|126471|68996|70360|70449|71684|90703|91772|96610
2025,32,No upside,ab_no_upside,46.39,11.278861669356022,109.92000000000002,0.07999999999998408,False,4-3-3,12,104027|112709|115248|122486|126471|133669|70449|71684|78850|93988|96610|97653
2025,33,No upside,ab_no_upside,58.730000000000004,11.243372255269149,109.95,0.04999999999999716,False,4-3-3,12,104027|104758|112709|122486|132264|68685|68899|68996|70449|71684|78248|96610
2025,34,No upside,ab_no_upside,61.85,11.31832184245269,109.81,0.18999999999999773,False,4-3-3,12,101995|103056|104027|112709|122486|132553|63007|68685|78850|80287|98225|98517
2025,35,No upside,ab_no_upside,57.89,11.266061094425316,109.56,0.4399999999999977,False,4-3-3,12,101908|103056|104027|106708|112709|113103|115248|122486|132264|71684|82455|96610
2025,36,No upside,ab_no_upside,32.800000000000004,11.289514066496164,109.75999999999999,0.2400000000000091,False,4-3-3,12,104027|106708|112709|113103|115248|122486|70360|71684|79266|96610|97653|98517
2025,37,No upside,ab_no_upside,42.39999999999999,11.479419062910521,109.53,0.46999999999999886,False,4-3-3,12,101908|104027|112709|122486|126471|132264|68685|78850|79266|90768|96610|98384
2025,38,No upside,ab_no_upside,23.189999999999998,11.32852248706174,109.97,0.030000000000001137,False,4-3-3,12,112709|122486|126471|132071|37457|63007|78248|79266|82639|96610|97460|98384
2025,2,No economic efficiency,ab_no_economic,32.78,9.857162089391492,110.0,0.0,True,4-3-3,12,104027|109096|113078|70916|81881|82627|89256|90768|93478|97653|99228|99267
2025,3,No economic efficiency,ab_no_economic,54.37,10.190158259149356,109.49000000000001,0.5099999999999909,False,4-3-3,12,107771|110510|111594|112709|142279|37715|89256|90285|93879|94207|94509|99815
2025,4,No economic efficiency,ab_no_economic,68.33,10.310650169820477,109.59,0.4099999999999966,False,4-3-3,12,104085|110818|112709|112886|117910|72018|87999|91607|92087|94968|95131|98672
2025,5,No economic efficiency,ab_no_economic,52.28,10.9757793764988,109.99,0.010000000000005116,False,4-3-3,12,101290|104118|105811|107093|107111|122302|141763|37457|52827|71684|85403|99815
2025,6,No economic efficiency,ab_no_economic,78.3,11.104077761972498,109.12999999999998,0.8700000000000188,False,4-3-3,12,101290|103445|107111|115239|141754|37457|52827|70360|78850|91808|91866|98672
2025,7,No economic efficiency,ab_no_economic,48.76,11.141853932584269,109.99000000000001,0.009999999999990905,False,4-3-3,12,103056|109401|37457|70360|78445|78850|90703|91866|97900|98672|98909|99815
2025,8,No economic efficiency,ab_no_economic,60.190000000000005,11.055555555555555,109.77000000000001,0.22999999999998977,False,4-3-3,12,101290|104271|110818|122302|68685|70360|78850|87008|90703|91866|96610|97900
2025,9,No economic efficiency,ab_no_economic,47.400000000000006,11.105742296918764,109.94,0.060000000000002274,False,4-3-3,12,101290|104085|104271|107111|113397|37457|70360|78850|87008|87999|91866|99815
2025,10,No economic efficiency,ab_no_economic,61.919999999999995,11.159693165969315,109.41000000000001,0.5899999999999892,False,4-3-3,12,102340|103056|104204|104271|104754|70360|71684|78850|82627|90703|99267|99815
2025,11,No economic efficiency,ab_no_economic,40.730000000000004,11.130787037037036,109.79,0.20999999999999375,False,4-3-3,12,104204|104271|104754|106593|109401|131617|78850|87008|87999|90703|97653|99815
2025,12,No economic efficiency,ab_no_economic,45.19,11.257805325987144,109.46,0.5400000000000063,False,4-3-3,12,104250|104754|105568|107554|109401|115248|126471|70360|87008|91866|94968|99267
2025,13,No economic efficiency,ab_no_economic,38.3,11.002751031636864,109.38999999999999,0.6100000000000136,False,4-3-3,12,103056|104204|104250|104271|107554|109401|110818|70360|91866|96610|98672|99815
2025,14,No economic efficiency,ab_no_economic,64.16999999999999,11.254410399257196,108.28,1.7199999999999989,False,4-3-3,12,103056|105842|106593|126471|130811|131617|37457|70360|78850|82627|90703|98672
2025,15,No economic efficiency,ab_no_economic,48.48,11.007366482504603,109.48000000000002,0.5199999999999818,False,4-3-3,12,102340|106593|107554|109401|110818|122486|78850|82627|87008|90703|98672|99267
2025,16,No economic efficiency,ab_no_economic,43.89999999999999,11.301369863013695,109.43000000000002,0.569999999999979,False,4-3-3,12,103056|105842|106593|126471|130811|131617|37457|70360|78850|82627|90703|96610
2025,17,No economic efficiency,ab_no_economic,52.24,11.089253187613842,109.91000000000001,0.0899999999999892,False,4-3-3,12,103056|105647|106593|107554|110818|130811|131617|68685|70360|80287|97867|99267
2025,18,No economic efficiency,ab_no_economic,72.12,11.063963963963962,109.63,0.37000000000000455,False,4-3-3,12,103056|105647|106593|107093|110818|126471|130811|131617|70360|80287|96610|97900
2025,19,No economic efficiency,ab_no_economic,33.36,11.056154537286613,109.95999999999998,0.040000000000020464,False,4-3-3,12,103056|105647|106593|110818|122486|126216|130811|78850|80287|96610|97867|98517
2025,20,No economic efficiency,ab_no_economic,32.669999999999995,11.117581436858543,109.74,0.2600000000000051,False,4-3-3,12,103056|104204|105842|106593|110818|126471|130811|63007|70360|78850|80287|96610
2025,21,No economic efficiency,ab_no_economic,71.24,11.163800705467374,109.10999999999999,0.8900000000000148,False,4-3-3,12,103056|104075|105300|107554|126471|131617|145269|70360|78850|80287|96610|98672
2025,22,No economic efficiency,ab_no_economic,73.09,11.19295958279009,109.21999999999998,0.7800000000000153,False,4-3-3,12,103056|126471|131617|132071|145269|68899|78850|82775|87887|96610|97653|97810
2025,23,No economic efficiency,ab_no_economic,49.10000000000001,11.15374677002584,109.47,0.5300000000000011,False,4-3-3,12,103056|105300|105584|107873|110818|122486|68899|70360|71684|78850|80287|96610
2025,24,No economic efficiency,ab_no_economic,66.69000000000001,11.036175710594314,109.96000000000001,0.03999999999999204,False,4-3-3,12,103347|105300|122486|145269|68685|68899|71684|78850|80287|86508|97810|98672
2025,25,No economic efficiency,ab_no_economic,24.060000000000002,11.093333333333335,109.99000000000001,0.009999999999990905,False,4-3-3,12,103056|104758|105300|126216|145269|68899|70360|71684|78850|80061|80287|98517
2025,26,No economic efficiency,ab_no_economic,63.209999999999994,11.118956743002544,109.82000000000001,0.1799999999999926,False,4-3-3,12,103056|104075|122486|133669|145269|68899|71684|78850|80287|82775|93886|96610
2025,27,No economic efficiency,ab_no_economic,58.56,11.146759847522237,109.82000000000001,0.1799999999999926,False,4-3-3,12,103056|105436|117330|122486|143194|68685|68899|70360|71684|78850|82775|93411
2025,28,No economic efficiency,ab_no_economic,63.019999999999996,11.139839459231094,109.94,0.060000000000002274,False,4-3-3,12,104075|104118|104758|105436|112886|114802|117330|143194|78850|80287|89274|89837
2025,29,No economic efficiency,ab_no_economic,64.7,11.156838143036385,109.39999999999999,0.6000000000000085,False,4-3-3,12,100830|100848|115248|122486|126216|68899|71684|78850|80287|89274|92075|97653
2025,30,No economic efficiency,ab_no_economic,55.42000000000001,11.11361737677527,109.84,0.1599999999999966,False,4-3-3,12,103347|104758|113103|115248|122486|126216|126471|70449|71684|92075|96610|97867
2025,31,No economic efficiency,ab_no_economic,61.58,11.137708333333332,109.94999999999999,0.05000000000001137,False,4-3-3,12,104758|106708|113103|117330|126471|68685|68996|70360|70449|71684|90703|92075
2025,32,No economic efficiency,ab_no_economic,47.65,11.166666666666666,109.82,0.18000000000000682,False,4-3-3,12,103056|104075|122486|126216|126471|133669|71684|78445|78850|89274|92075|96610
2025,33,No economic efficiency,ab_no_economic,63.569999999999986,11.152101539741988,109.67999999999998,0.3200000000000216,False,4-3-3,12,104084|104758|122486|126471|132264|68996|71684|78248|78850|92075|96610|98517
2025,34,No economic efficiency,ab_no_economic,61.81,11.233167082294264,109.34999999999998,0.6500000000000199,False,4-3-3,12,103056|104075|106708|122486|126471|68685|78248|78850|80287|82627|89837|92075
2025,35,No economic efficiency,ab_no_economic,63.949999999999996,11.12640099626401,109.91,0.09000000000000341,False,4-3-3,12,102253|103056|103912|105436|106708|108274|113103|115248|122486|132264|78850|96610
2025,36,No economic efficiency,ab_no_economic,53.33,11.170393374741197,109.63000000000001,0.36999999999999034,False,4-3-3,12,103912|104075|105436|106708|108274|115248|122486|68996|78850|87008|95131|96610
2025,37,No economic efficiency,ab_no_economic,47.49999999999999,11.295698924731182,109.94999999999999,0.05000000000001137,False,4-3-3,12,103056|106593|108274|122486|126471|132264|68685|78850|92075|96610|97468|98384
2025,38,No economic efficiency,ab_no_economic,28.859999999999996,11.195373812474182,109.64000000000001,0.3599999999999852,False,4-3-3,12,108274|116065|122486|126471|132071|68685|68996|72391|73384|78248|87008|96610
2025,2,No availability adjustment,ab_no_availability,57.64000000000001,8.914983844911148,110.0,0.0,True,4-3-3,12,100898|107221|107554|111594|115246|70696|80287|87863|89256|91607|95799|99228
2025,3,No availability adjustment,ab_no_availability,22.369999999999997,9.709569732937688,109.85999999999999,0.14000000000001478,False,4-3-3,12,107771|111594|117818|87999|90285|94509|95799|96725|97468|97653|98225|99815
2025,4,No availability adjustment,ab_no_availability,47.03,9.899235807860263,102.94999999999999,7.050000000000011,False,4-3-3,12,109573|110818|112709|117818|117910|71684|87999|90285|94207|94968|95131|97653
2025,5,No availability adjustment,ab_no_availability,46.17999999999999,10.422374100719423,109.24000000000001,0.7599999999999909,False,4-3-3,12,101290|105811|107093|109401|117818|141763|37457|68899|71684|85403|97653|99815
2025,6,No availability adjustment,ab_no_availability,62.5,10.42201280227596,109.96999999999998,0.030000000000015348,False,4-3-3,12,101290|103445|107111|117818|141754|37457|70360|71684|78445|91866|94968|98672
2025,7,No availability adjustment,ab_no_availability,67.16,10.441783707865168,107.4,2.5999999999999943,False,4-3-3,12,100652|117818|37457|70360|78445|78850|88312|90703|91866|98672|98909|99815
2025,8,No availability adjustment,ab_no_availability,59.53,10.385504201680671,110.0,0.0,True,4-3-3,12,104271|117818|122302|37457|70360|71684|78445|91607|91866|96610|98672|99815
2025,9,No availability adjustment,ab_no_availability,50.199999999999996,10.564145658263305,109.67999999999999,0.3200000000000074,False,4-3-3,12,101290|104085|104271|104528|115239|117818|37457|70360|71684|81121|87999|99815
2025,10,No availability adjustment,ab_no_availability,32.22,10.582880055788005,108.26,1.7399999999999949,False,4-3-3,12,104085|104204|104754|117818|130884|70360|71684|78850|82627|90703|96610|99815
2025,11,No availability adjustment,ab_no_availability,58.83,10.495729166666667,109.16,0.8400000000000034,False,4-3-3,12,104085|104204|104754|107554|109401|117818|131617|78850|90703|96610|97653|99815
2025,12,No availability adjustment,ab_no_availability,46.989999999999995,10.444455922865016,109.66,0.3400000000000034,False,4-3-3,12,104085|104754|107221|107554|109401|115248|122486|70360|71684|78850|96610|99267
2025,13,No availability adjustment,ab_no_availability,37.0,10.372764786795049,109.60999999999999,0.3900000000000148,False,4-3-3,12,104085|104204|107554|109401|110818|115674|130811|70360|71684|96610|98672|99815
2025,14,No availability adjustment,ab_no_availability,53.87,10.427472144846796,109.69,0.3100000000000023,False,4-3-3,12,104588|107554|130811|131617|37457|70360|71684|82627|90703|96610|97653|99267
2025,15,No availability adjustment,ab_no_availability,50.07999999999999,10.371305248618786,109.63000000000001,0.36999999999999034,False,4-3-3,12,107221|107554|109401|122486|37457|71684|78850|82627|90703|96610|97653|99267
2025,16,No availability adjustment,ab_no_availability,50.09999999999999,10.471061643835615,108.61,1.3900000000000006,False,4-3-3,12,104588|106593|107554|126471|131617|37457|70360|78850|80287|90703|96610|97653
2025,17,No availability adjustment,ab_no_availability,40.64,10.35037568306011,109.28999999999999,0.710000000000008,False,4-3-3,12,104588|106593|107554|110818|122486|130884|131617|68685|80287|96610|97653|99267
2025,18,No availability adjustment,ab_no_availability,57.519999999999996,10.430844594594594,109.53,0.46999999999999886,False,4-3-3,12,104588|106593|107554|110818|126471|131617|68685|70360|78850|80287|96610|97653
2025,19,No availability adjustment,ab_no_availability,37.959999999999994,10.369811320754717,109.81999999999998,0.18000000000002103,False,4-3-3,12,110818|116065|122486|126216|131753|69783|78850|80287|93886|96610|97867|98672
2025,20,No availability adjustment,ab_no_availability,50.760000000000005,10.424062918340029,109.7,0.29999999999999716,False,4-3-3,12,106593|107554|122486|126471|37457|63007|70360|78850|80287|84094|96610|97653
2025,21,No availability adjustment,ab_no_availability,72.14,10.44596560846561,109.69999999999999,0.30000000000001137,False,4-3-3,12,105300|126471|131617|131753|133669|145269|63007|78850|80287|82775|96610|97653
2025,22,No availability adjustment,ab_no_availability,64.69,10.404758800521511,109.39999999999999,0.6000000000000085,False,4-3-3,12,121823|122486|126471|131617|145269|68899|71684|78850|82775|96610|97653|97810
2025,23,No availability adjustment,ab_no_availability,43.5,10.59186046511628,109.36999999999998,0.6300000000000239,False,4-3-3,12,105300|107093|110818|113103|115248|122486|131753|68899|71684|78850|80287|96610
2025,24,No availability adjustment,ab_no_availability,43.190000000000005,10.428649870801033,109.92000000000002,0.07999999999998408,False,4-3-3,12,107093|122486|131753|145269|68899|71684|78850|80287|96610|97653|98672|98909
2025,25,No availability adjustment,ab_no_availability,41.75,10.47,109.9,0.09999999999999432,False,4-3-3,12,104027|104758|113690|126216|68899|70360|71684|80061|80287|82775|87863|97653
2025,26,No availability adjustment,ab_no_availability,52.74999999999999,10.379961832061067,109.94000000000001,0.05999999999998806,False,4-3-3,12,104027|121823|122486|133669|68685|68899|71684|78850|80287|82775|96610|97653
2025,27,No availability adjustment,ab_no_availability,74.66,10.491963151207116,109.92999999999999,0.07000000000000739,False,4-3-3,12,105436|106708|122486|126216|131753|143194|68685|70360|71684|82775|96610|97653
2025,28,No availability adjustment,ab_no_availability,37.82,10.342680608365018,109.75999999999999,0.2400000000000091,False,4-3-3,12,104075|108713|112886|131753|143194|68685|71684|78850|80287|82775|89837|96610
2025,29,No availability adjustment,ab_no_availability,43.7,10.51957340025094,109.79999999999998,0.20000000000001705,False,4-3-3,12,104758|115248|122486|126216|126471|131753|71684|80287|82775|92075|96610|97653
2025,30,No availability adjustment,ab_no_availability,70.47,10.49235588972431,108.48,1.519999999999996,False,4-3-3,12,103912|104085|104758|113103|115248|122486|126216|126471|131753|71684|82775|96610
2025,31,No availability adjustment,ab_no_availability,29.679999999999996,10.4939375,109.55999999999999,0.44000000000001194,False,4-3-3,12,107859|113103|126216|126471|70360|71684|78850|82775|90703|92075|96610|97653
2025,32,No availability adjustment,ab_no_availability,36.35,10.581670822942645,109.79999999999998,0.20000000000001705,False,4-3-3,12,113103|115248|122486|126216|126471|131753|71684|78850|82775|92075|96610|97653
2025,33,No availability adjustment,ab_no_availability,52.669999999999995,10.509519350811486,109.88999999999999,0.11000000000001364,False,4-3-3,12,104085|104758|107859|122486|126471|132264|68685|68996|71684|78850|92075|96610
