w_expected,w_upside,w_economic,l1_distance_to_original,mean_utility_2024,rank_2024,mean_utility_2025,rank_2025
0.45,0.35,0.2,0.4999999999999999,54.04297297297297,63,55.641081081081076,39
0.45,0.4,0.15,0.49999999999999994,54.64405405405405,48,55.3681081081081,45
0.45,0.45,0.1,0.49999999999999994,54.06108108108108,62,53.85243243243243,73
0.45,0.5,0.05,0.6,54.47675675675676,55,51.53621621621621,107
0.45,0.55,0.0,0.7,50.53297297297297,98,50.722972972972975,114
0.5,0.0,0.5,0.8,48.68810810810811,118,54.05432432432433,72
0.5,0.05,0.45,0.7,50.53108108108108,99,55.28243243243244,46
0.5,0.1,0.4,0.6,53.02324324324324,71,56.04675675675676,31
0.5,0.15,0.35,0.49999999999999994,52.597027027027025,76,55.52162162162163,41
0.5,0.2,0.3,0.3999999999999999,54.25432432432433,59,55.57351351351352,40
0.5,0.25,0.25,0.3999999999999999,55.95135135135135,22,57.42756756756757,6
0.5,0.3,0.2,0.3999999999999999,54.902702702702705,46,55.88702702702703,34
0.5,0.35,0.15,0.3999999999999999,55.24054054054054,39,55.48594594594594,42
0.5,0.4,0.1,0.39999999999999997,55.20324324324324,41,54.174054054054054,70
0.5,0.45,0.05,0.49999999999999994,54.508108108108104,53,51.79027027027027,102
0.5,0.5,0.0,0.6,52.58513513513514,77,52.174054054054054,96
0.55,0.0,0.45,0.7,50.91567567567568,94,55.46081081081081,44
0.55,0.05,0.4,0.6,52.70918918918919,73,56.545405405405404,21
0.55,0.1,0.35,0.4999999999999999,54.66162162162162,47,56.119189189189186,28
0.55,0.15,0.3,0.3999999999999999,53.384594594594596,69,55.841351351351356,35
0.55,0.2,0.25,0.29999999999999993,54.59216216216216,50,56.37864864864866,24
0.55,0.25,0.2,0.29999999999999993,54.32297297297298,57,55.01405405405406,52
0.55,0.3,0.15,0.2999999999999999,55.0027027027027,44,54.66432432432432,59
0.55,0.35,0.1,0.2999999999999999,55.2972972972973,38,54.60567567567567,60
0.55,0.4,0.05,0.3999999999999999,55.22108108108108,40,52.406486486486486,94
0.55,0.45,0.0,0.4999999999999999,54.633783783783784,49,51.58216216216216,105
0.6,0.0,0.4,0.6000000000000001,52.49567567567567,78,57.365945945945946,7
0.6,0.05,0.35,0.5,52.612432432432435,75,56.85513513513513,13
0.6,0.1,0.3,0.39999999999999997,54.53837837837838,51,55.24108108108108,49
