season,round_target,position_id,position,n_train_performance,n_predicted,max_train_time_key,target_time_key,strict_no_future_training
2025,15,3,zagueiro,7255,120,202514,202515,True
2025,15,4,meia,16206,224,202514,202515,True
2025,15,5,atacante,13051,177,202514,202515,True
2025,15,6,tecnico,3140,20,202514,202515,True
2025,16,1,goleiro,3061,72,202515,202516,True
2025,16,2,lateral,7554,113,202515,202516,True
2025,16,3,zagueiro,7305,119,202515,202516,True
2025,16,4,meia,16308,226,202515,202516,True
2025,16,5,atacante,13140,180,202515,202516,True
2025,16,6,tecnico,3160,20,202515,202516,True
2025,17,1,goleiro,3075,72,202516,202517,True
2025,17,2,lateral,7589,114,202516,202517,True
2025,17,3,zagueiro,7337,119,202516,202517,True
2025,17,4,meia,16381,225,202516,202517,True
2025,17,5,atacante,13206,182,202516,202517,True
2025,17,6,tecnico,3180,20,202516,202517,True
2025,18,1,goleiro,3096,76,202517,202518,True
2025,18,2,lateral,7640,114,202517,202518,True
2025,18,3,zagueiro,7383,120,202517,202518,True
2025,18,4,meia,16484,226,202517,202518,True
2025,18,5,atacante,13298,184,202517,202518,True
2025,18,6,tecnico,3200,20,202517,202518,True
2025,19,1,goleiro,3116,78,202518,202519,True
2025,19,2,lateral,7694,116,202518,202519,True
2025,19,3,zagueiro,7429,116,202518,202519,True
2025,19,4,meia,16586,228,202518,202519,True
2025,19,5,atacante,13389,184,202518,202519,True
2025,19,6,tecnico,3220,20,202518,202519,True
2025,20,1,goleiro,3136,79,202519,202520,True
2025,20,2,lateral,7748,117,202519,202520,True
2025,20,3,zagueiro,7473,118,202519,202520,True
2025,20,4,meia,16691,227,202519,202520,True
2025,20,5,atacante,13478,186,202519,202520,True
2025,20,6,tecnico,3240,20,202519,202520,True
2025,21,1,goleiro,3156,83,202520,202521,True
2025,21,2,lateral,7795,118,202520,202521,True
2025,21,3,zagueiro,7519,121,202520,202521,True
2025,21,4,meia,16797,227,202520,202521,True
2025,21,5,atacante,13571,187,202520,202521,True
2025,21,6,tecnico,3260,20,202520,202521,True
2025,22,1,goleiro,3176,82,202521,202522,True
2025,22,2,lateral,7844,119,202521,202522,True
2025,22,3,zagueiro,7562,125,202521,202522,True
2025,22,4,meia,16900,233,202521,202522,True
2025,22,5,atacante,13665,188,202521,202522,True
2025,22,6,tecnico,3280,20,202521,202522,True
2025,23,1,goleiro,3196,83,202522,202523,True
2025,23,2,lateral,7891,120,202522,202523,True
2025,23,3,zagueiro,7608,128,202522,202523,True
2025,23,4,meia,17003,235,202522,202523,True
2025,23,5,atacante,13758,188,202522,202523,True
2025,23,6,tecnico,3300,20,202522,202523,True
2025,24,1,goleiro,3218,82,202523,202524,True
2025,24,2,lateral,7942,124,202523,202524,True
2025,24,3,zagueiro,7653,131,202523,202524,True
2025,24,4,meia,17100,234,202523,202524,True
2025,24,5,atacante,13854,183,202523,202524,True
2025,24,6,tecnico,3320,20,202523,202524,True
2025,25,1,goleiro,3238,83,202524,202525,True
2025,25,2,lateral,7996,125,202524,202525,True
2025,25,3,zagueiro,7694,132,202524,202525,True
2025,25,4,meia,17212,233,202524,202525,True
2025,25,5,atacante,13942,182,202524,202525,True
2025,25,6,tecnico,3340,20,202524,202525,True
2025,26,1,goleiro,3258,85,202525,202526,True
2025,26,2,lateral,8048,126,202525,202526,True
2025,26,3,zagueiro,7747,134,202525,202526,True
2025,26,4,meia,17308,235,202525,202526,True
2025,26,5,atacante,14035,186,202525,202526,True
2025,26,6,tecnico,3360,20,202525,202526,True
2025,27,1,goleiro,3276,84,202526,202527,True
2025,27,2,lateral,8096,126,202526,202527,True
2025,27,3,zagueiro,7788,135,202526,202527,True
2025,27,4,meia,17404,236,202526,202527,True
2025,27,5,atacante,14114,186,202526,202527,True
2025,27,6,tecnico,3380,20,202526,202527,True
2025,28,1,goleiro,3296,85,202527,202528,True
2025,28,2,lateral,8148,127,202527,202528,True
2025,28,3,zagueiro,7838,135,202527,202528,True
2025,28,4,meia,17511,236,202527,202528,True
2025,28,5,atacante,14202,186,202527,202528,True
2025,28,6,tecnico,3400,20,202527,202528,True
2025,29,1,goleiro,3317,86,202528,202529,True
2025,29,2,lateral,8200,128,202528,202529,True
2025,29,3,zagueiro,7883,135,202528,202529,True
2025,29,4,meia,17617,238,202528,202529,True
2025,29,5,atacante,14295,190,202528,202529,True
2025,29,6,tecnico,3420,20,202528,202529,True
2025,30,1,goleiro,3337,87,202529,202530,True
2025,30,2,lateral,8256,128,202529,202530,True
2025,30,3,zagueiro,7929,135,202529,202530,True
2025,30,4,meia,17717,238,202529,202530,True
2025,30,5,atacante,14390,190,202529,202530,True
2025,30,6,tecnico,3440,20,202529,202530,True
2025,31,1,goleiro,3358,87,202530,202531,True
2025,31,2,lateral,8312,128,202530,202531,True
2025,31,3,zagueiro,7977,135,202530,202531,True
2025,31,4,meia,17817,239,202530,202531,True
2025,31,5,atacante,14480,191,202530,202531,True
2025,31,6,tecnico,3460,20,202530,202531,True
