w_expected,w_upside,w_economic,n_rounds,mean_utility,median_utility,sd_utility,cumulative_utility,mean_cost,pct_budget_binding,rank_mean,within_1pct_best
0.45,0.0,0.55,37,46.58837837837838,45.17000000000001,15.623447569725572,1723.77,70.74594594594595,0.0,145,False
0.1,0.45,0.45,37,46.47783783783784,44.44,18.103622893273652,1719.68,73.4781081081081,0.0,146,False
0.05,0.7,0.25,37,46.37243243243243,45.3,15.07336694773736,1715.78,81.70648648648648,0.0,147,False
0.05,0.6,0.35,37,46.369729729729734,44.44,16.370412247318246,1715.68,77.17351351351351,0.0,148,False
0.35,0.15,0.5,37,46.35216216216216,46.010000000000005,17.73466068577687,1715.03,74.23783783783784,0.0,149,False
0.1,0.5,0.4,37,46.15135135135135,44.44,17.655253886302226,1707.6,75.67837837837837,0.0,150,False
0.0,0.75,0.25,37,46.08324324324324,45.3,16.27621459097328,1705.08,79.79243243243243,0.0,151,False
0.05,0.65,0.3,37,46.07783783783784,45.3,15.891133120764605,1704.88,79.17405405405405,0.0,152,False
0.05,0.45,0.5,37,46.056216216216214,46.84,17.743822923822027,1704.08,70.65621621621621,0.0,153,False
0.4,0.05,0.55,37,45.98513513513514,46.94,15.775376139488476,1701.45,71.48864864864865,0.0,154,False
0.0,0.7,0.3,37,45.89405405405405,43.84,15.844235625379742,1698.08,77.86540540540541,0.0,155,False
0.0,0.65,0.35,37,45.87513513513514,46.32999999999999,15.408923572906568,1697.38,75.87486486486486,0.0,156,False
0.05,0.75,0.2,37,45.80918918918919,46.349999999999994,15.062507423396674,1694.94,84.41,0.0,157,False
0.0,0.8,0.2,37,45.79675675675676,43.84,14.515650376605791,1694.48,82.73162162162163,0.0,158,False
0.3,0.2,0.5,37,45.71216216216216,42.36,17.662477197458763,1691.35,74.00297297297297,0.0,159,False
0.05,0.5,0.45,37,45.32378378378378,44.44,17.890050827725968,1676.98,72.38027027027027,0.0,160,False
0.35,0.1,0.55,37,45.31648648648649,45.2,16.868550984370657,1676.71,71.28891891891892,0.0,161,False
0.0,0.6,0.4,37,45.27432432432432,44.44,16.74051498287588,1675.1499999999999,73.70243243243243,0.0,162,False
0.25,0.25,0.5,37,45.24621621621621,45.19,18.1105744665239,1674.11,73.14108108108108,0.0,163,False
0.05,0.8,0.15,37,45.174054054054054,45.3,15.149249057197425,1671.44,87.55243243243244,0.0,164,False
0.0,0.85,0.15,37,45.11027027027027,44.78,14.831022570290985,1669.08,85.61054054054054,0.0,165,False
0.05,0.85,0.1,37,45.03810810810811,43.300000000000004,15.53714721380806,1666.41,91.8818918918919,0.0,166,False
0.15,0.35,0.5,37,44.8681081081081,43.230000000000004,18.110579756018275,1660.12,71.90054054054055,0.0,167,False
0.05,0.55,0.4,37,44.85702702702703,44.019999999999996,17.08628427600221,1659.71,75.27621621621621,0.0,168,False
0.0,0.45,0.55,37,44.85648648648649,44.550000000000004,17.775153103922,1659.69,67.52108108108108,0.0,169,False
