replication_id,margin,voll_multiplier,voll,model,theta,mean_loss,total_shortage_mw,total_emergency_mw,mean_decision_cost
E2017,1.0,1.0,10000.0,ENTSOE,-0.175,14721224.8669143,531998.2023950182,405.4574097520581,185754.8561214561
E2017,1.0,1.0,10000.0,ENTSOE,-0.15,13095351.851802224,472157.80053400865,888.8592707614862,194865.49841401094
E2017,1.0,1.0,10000.0,ENTSOE,-0.125,11433715.135020714,410615.45941341075,3995.861722309537,214713.51170348277
E2017,1.0,1.0,10000.0,ENTSOE,-0.1,9766624.534425793,347881.6241907166,14525.696945003716,261662.1248433739
E2017,1.0,1.0,10000.0,ENTSOE,-0.075,8093965.393446524,283689.1608799305,34560.284745190234,342895.4240495169
E2017,1.0,1.0,10000.0,ENTSOE,-0.05,6430283.530448761,218250.65260243532,67039.73480825794,467150.9456827686
E2017,1.0,1.0,10000.0,ENTSOE,-0.025,4860567.303181515,154953.2314898945,109864.5006066383,626872.453730845
E2017,1.0,1.0,10000.0,ENTSOE,0.0,3543937.3453878225,100393.09923449224,156804.03289783676,800956.4919863952
E2017,1.0,1.0,10000.0,ENTSOE,0.025,2654408.8232621704,61100.60887022791,206501.82502832677,984993.2803597687
E2017,1.0,1.0,10000.0,ENTSOE,0.05,2231201.4329766072,38540.47664471656,258756.85280370456,1178182.9454160454
E2017,1.0,1.0,10000.0,ENTSOE,0.075,2125065.6066854424,27271.58114151383,313407.1980644561,1379940.438884518
E2017,1.0,1.0,10000.0,ENTSOE,0.1,2176212.612827753,21522.609200353574,369794.58352188463,1588163.1811241042
E2017,1.0,1.0,10000.0,ENTSOE,0.125,2267087.657364001,16981.660913358748,427926.7520757955,1803107.8509880786
E2017,1.0,1.0,10000.0,ENTSOE,0.15,2403019.058962822,13693.420942435063,489052.63605052105,2028881.8747432851
E2017,1.0,1.0,10000.0,ENTSOE,0.175,2577450.9070548844,11411.877824160823,553165.7095601404,2265650.966504042
E2017,1.0,1.0,10000.0,ENTSOE,0.2,2777177.6317079314,9623.655574571443,620457.1578338735,2514236.2225666353
E2017,1.0,1.0,10000.0,ENTSOE,0.225,3003097.302430149,8188.038628126438,692359.8589045939,2779380.4000223232
E2017,1.0,1.0,10000.0,ENTSOE,0.25,3244264.774932478,6674.2858627506885,769130.1518059756,3061907.2376988526
E2017,1.0,1.0,10000.0,ENTSOE,0.275,3512036.0400680727,5559.744725508559,850256.35958424,3360130.446474943
E2017,1.0,1.0,10000.0,ENTSOE,0.3,3796422.1424925276,4423.41160350117,936250.1554658334,3675563.9019597084
E2017,1.0,1.0,10000.0,SARIMAX,-0.3,20597320.4169915,747908.1764101731,0.0,162670.78829825032
E2017,1.0,1.0,10000.0,SARIMAX,-0.275,19104372.247185186,693076.2506061009,0.0,167862.66778352324
E2017,1.0,1.0,10000.0,SARIMAX,-0.25,17590086.41998951,637456.7133797866,0.0,173236.32764561716
