position_id,position,model,candidate_id,params_json,folds,mean_RMSE,mean_MAE,mean_R2,mean_correlation
5,atacante,XGB,19,"{""colsample_bytree"": 0.7015934963710606, ""learning_rate"": 0.07184330208075035, ""max_depth"": 3, ""n_estimators"": 1450, ""reg_alpha"": 0.008482996371322014, ""reg_lambda"": 0.00720190126078291, ""subsample"": 0.5363402292132378}",5,4.513234198149904,3.29745890868512,-0.1561105438663049,0.15936929686380985
6,tecnico,RF,30,"{""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 2, ""n_estimators"": 1600}",5,2.3189763839717967,1.8077188949867762,0.09330582945337726,0.3551162585844176
6,tecnico,RF,2,"{""max_depth"": 3, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 1150}",5,2.3210497556055305,1.8129805314409855,0.09173423404922876,0.3566394204658608
6,tecnico,RF,42,"{""max_depth"": 3, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 1350}",5,2.321053077067027,1.8132894055257975,0.09173054716775517,0.3567271296825439
6,tecnico,RF,4,"{""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 600}",5,2.3216397047429274,1.8094319029679802,0.0912292968441181,0.3537628263413835
6,tecnico,RF,38,"{""max_depth"": 2, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""n_estimators"": 1700}",5,2.32400085487697,1.8092536176312488,0.0894821219054955,0.3544135266461403
6,tecnico,RF,32,"{""max_depth"": 2, ""max_features"": 1.0, ""min_samples_leaf"": 10, ""n_estimators"": 900}",5,2.3250588053827563,1.809407779361561,0.08875864562799132,0.3544804606071913
6,tecnico,RF,20,"{""max_depth"": 2, ""max_features"": 0.3, ""min_samples_leaf"": 2, ""n_estimators"": 500}",5,2.3326120437046027,1.8397793652805432,0.08278736341474886,0.36176617979670117
6,tecnico,RF,40,"{""max_depth"": 5, ""max_features"": 0.8, ""min_samples_leaf"": 10, ""n_estimators"": 800}",5,2.333496341078433,1.8219052662767083,0.08183317315967564,0.3428565276629632
6,tecnico,RF,58,"{""max_depth"": 5, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 1400}",5,2.334052532663267,1.8218007104170038,0.08131904640762558,0.3400004982397232
6,tecnico,RF,16,"{""max_depth"": 5, ""max_features"": 0.3, ""min_samples_leaf"": 5, ""n_estimators"": 950}",5,2.3355187739342576,1.8327603370802894,0.0804396558221134,0.3472013082400145
6,tecnico,RF,44,"{""max_depth"": 5, ""max_features"": 0.3, ""min_samples_leaf"": 5, ""n_estimators"": 400}",5,2.3366488177133182,1.833039663362883,0.07953436587403392,0.3469071584474835
6,tecnico,RF,54,"{""max_depth"": 5, ""max_features"": 0.3, ""min_samples_leaf"": 10, ""n_estimators"": 1800}",5,2.338242582142777,1.844982437297272,0.07829242416694811,0.34722766916210995
6,tecnico,RF,27,"{""max_depth"": 8, ""max_features"": 0.8, ""min_samples_leaf"": 10, ""n_estimators"": 1700}",5,2.3433991871611632,1.8306843353842002,0.07399584114127138,0.3338517118088312
6,tecnico,RF,21,"{""max_depth"": 12, ""max_features"": 0.3, ""min_samples_leaf"": 10, ""n_estimators"": 400}",5,2.349822588675467,1.8580367540699083,0.06907379651968804,0.3322991443679196
6,tecnico,RF,51,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 1500}",5,2.350768533623954,1.8377299175079098,0.06811624046539584,0.3297824795212315
6,tecnico,RF,7,"{""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 10, ""n_estimators"": 1400}",5,2.3517248559767046,1.8370445247612668,0.06737926226049998,0.32826824695763773
6,tecnico,RF,63,"{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 10, ""n_estimators"": 1100}",5,2.3524323023661626,1.8355701677263752,0.06670909215859366,0.32670748841314834
6,tecnico,RF,5,"{""max_depth"": 8, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 350}",5,2.355363296768245,1.8394881225866508,0.06425753661101477,0.3218861083480105
6,tecnico,RF,23,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 1300}",5,2.360696409905002,1.8738999325249588,0.06064624751059662,0.33621897006000384
6,tecnico,RF,11,"{""max_depth"": 12, ""max_features"": 0.3, ""min_samples_leaf"": 2, ""n_estimators"": 1750}",5,2.3663075924795245,1.8544273939730676,0.05584676330636318,0.3172070889129449
6,tecnico,RF,49,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 1000}",5,2.3694297022682353,1.889581598488266,0.0535247627562724,0.3298475248022624
6,tecnico,RF,33,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""n_estimators"": 850}",5,2.3714186775073545,1.853189431349677,0.05157002138550819,0.31221655887881217
6,tecnico,RF,61,"{""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 600}",5,2.3736619576351323,1.854310554026759,0.049528182111689766,0.3093761150952114
6,tecnico,RF,64,"{""max_depth"": 3, ""max_features"": 0.5, ""min_samples_leaf"": 30, ""n_estimators"": 950}",5,2.3746333829941895,1.882027357656663,0.048218701409362796,0.27696030270895566
6,tecnico,RF,56,"{""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 700}",5,2.374830363473099,1.8870478091769995,0.049679562285685264,0.35330425802591425
6,tecnico,RF,10,"{""max_depth"": 3, ""max_features"": 1.0, ""min_samples_leaf"": 20, ""n_estimators"": 1250}",5,2.3778316884240835,1.869878298636803,0.04554898117058359,0.2740612302492444
6,tecnico,RF,60,"{""max_depth"": 2, ""max_features"": 0.5, ""min_samples_leaf"": 20, ""n_estimators"": 300}",5,2.378400801527383,1.8791946011429659,0.045491581277891546,0.2856442018328151
6,tecnico,RF,17,"{""max_depth"": 8, ""max_features"": 0.8, ""min_samples_leaf"": 30, ""n_estimators"": 1050}",5,2.379734824115872,1.8783889037524824,0.04395572197293438,0.26746501984126003
6,tecnico,RF,50,"{""max_depth"": 2, ""max_features"": 0.8, ""min_samples_leaf"": 30, ""n_estimators"": 1200}",5,2.3801860881866603,1.8725823738560983,0.044091934317562045,0.2747200605276467
6,tecnico,RF,46,"{""max_depth"": 5, ""max_features"": 0.8, ""min_samples_leaf"": 20, ""n_estimators"": 1450}",5,2.3801936191211857,1.8764613041872544,0.04342096595894114,0.27008925595712674
6,tecnico,RF,41,"{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 30, ""n_estimators"": 750}",5,2.3803412862219417,1.8770352896895286,0.04348098229229045,0.2668898636012937
6,tecnico,RF,53,"{""max_depth"": 8, ""max_features"": 1.0, ""min_samples_leaf"": 20, ""n_estimators"": 500}",5,2.3823408602445797,1.8787601883931848,0.04182470304908372,0.2672310159783279
6,tecnico,RF,47,"{""max_depth"": null, ""max_features"": 0.3, ""min_samples_leaf"": 2, ""n_estimators"": 1250}",5,2.3830636396556986,1.8679914804914692,0.042275833921700604,0.3039245895809848
6,tecnico,RF,31,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 20, ""n_estimators"": 1100}",5,2.383233421970569,1.8884872471132894,0.041005296395235605,0.2658344540837486
6,tecnico,RF,3,"{""max_depth"": 12, ""max_features"": 0.3, ""min_samples_leaf"": 30, ""n_estimators"": 1550}",5,2.383670259860418,1.9023505759474755,0.041187744143294555,0.2708949371748325
6,tecnico,RF,9,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 20, ""n_estimators"": 700}",5,2.38425205285506,1.8892733807458477,0.04020324590256694,0.2649763885646269
6,tecnico,RF,35,"{""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 20, ""n_estimators"": 1600}",5,2.386325615691095,1.8828687514308147,0.03855037417139227,0.2639074340014661
6,tecnico,RF,36,"{""max_depth"": 2, ""max_features"": 0.3, ""min_samples_leaf"": 30, ""n_estimators"": 650}",5,2.386740611619989,1.8983094532836344,0.039085407459062436,0.28487983358750546
6,tecnico,RF,25,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 800}",5,2.3927133083153245,1.867629080624965,0.0338241364828686,0.2949689369705518
6,tecnico,RF,45,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""n_estimators"": 500}",5,2.4013283274759054,1.9199468429412954,0.02742547393766448,0.26883901015467926
6,tecnico,RF,14,"{""max_depth"": 2, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 1500}",5,2.4019988585663237,1.911117208244653,0.028008074731454814,0.35709736514696366
6,tecnico,RF,18,"{""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""n_estimators"": 1200}",5,2.4031269541530316,1.9186428884007718,0.026052460204582982,0.27293093943272806
6,tecnico,RF,22,"{""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 50, ""n_estimators"": 1700}",5,2.414491788799323,1.916986547017606,0.014457783904723432,0.22765586390462214
6,tecnico,RF,52,"{""max_depth"": 5, ""max_features"": 1.0, ""min_samples_leaf"": 50, ""n_estimators"": 550}",5,2.4151340086570947,1.9179531924235937,0.014135662038677377,0.22737128647673527
